ID,ANGER,DISGUST,FEAR,JOY,SADNESS,TENTATIVE,ANALYTICAL,CONFIDENT,VIEWS,URL
1,0.5766744705882356,0,0,0,0,0.7001477500000001,0.5875781566265051,0.7937617777777779,4034155,https://www.youtube.com/watch?v=-5zeJyQ31rM
2,0,0,0,0.6975983636363637,0.6042585,0.79705075,0.7493046666666666,0.8659936666666667,368612,https://www.youtube.com/watch?v=-HHup8PkAK0
3,0.5842668888888888,0,0,0,0.5814701999999999,0.7276493333333334,0.5787244935064926,0.8081706666666667,5498684,https://www.youtube.com/watch?v=-JA3_QBfjG8
4,0.5970947450980393,0,0,0.553043,0.81396,0.599641,0.570429515151515,0.7498909999999999,138764,https://www.youtube.com/watch?v=-nyTXbSfx8c
5,0.6183118297872342,0,0,0,0,0.7897540833333334,0.5751114062499998,0.751512,150865,https://www.youtube.com/watch?v=-taEc2havwA
6,0.5737520961538464,0,0,0,0,0.681699,0.5959154743589739,0,178383,https://www.youtube.com/watch?v=-_PkOxqHWls
7,0.5888569800000002,0,0,0,0,0.7714610000000001,0.5791238644067795,0.5737166666666667,41270,https://www.youtube.com/watch?v=09gpNxjuOG0
8,0.694196,0,0.931034,0.6276820000000001,0.68423625,0.7025696,0.695085,0.7411826666666667,133902,https://www.youtube.com/watch?v=0ZDowQMviic
9,0.578662671875,0,0,0.603507,0.503914,0.681699,0.5831919113924041,0.7401479999999999,12600829,https://www.youtube.com/watch?v=1ACQpZW-eTg
10,0.5872373953488373,0,0,0,0,0.7327485,0.5821084117647052,0.751512,390023,https://www.youtube.com/watch?v=1m4cHpEyyIM
11,0,0,0,0.5477827500000001,0.588626,0.7868506666666667,0.8149435,0.6949546666666665,1719986,https://www.youtube.com/watch?v=1X8p0vhsWRE
12,0.5835211754385967,0,0,0,0,0.772704,0.577118202702702,0.806327375,130046,https://www.youtube.com/watch?v=1YS2ovtUveQ
13,0,0,0,0.506793,0.588317,0,0,0,2513294,https://www.youtube.com/watch?v=2bXn2F58OsM
14,0.931034,0,0.772483888888889,0.6727372727272729,0.7724536666666667,0.886369,0.8265024444444445,0.8273222,3544945,https://www.youtube.com/watch?v=2FMBSblpcrc
15,0.5521866666666666,0,0.7510783333333334,0.7867880833333335,0,0.769152,0.6919522307692307,0.8069889999999998,9096018,https://www.youtube.com/watch?v=2TtdPbeKNFc
16,0.5649833076923078,0,0,0,0,0.6610266666666668,0.5994680379746824,0.7874523333333332,547550,https://www.youtube.com/watch?v=3BnR_phGfE8
17,0.5642521800000002,0,0,0,0,0.696458,0.5618279864864857,0.7740834999999999,2412715,https://www.youtube.com/watch?v=4gU6CpQk6BE
18,0.5705978214285715,0,0,0,0.5470355,0.7964985555555556,0.5904844935064928,0.7636069999999999,105628,https://www.youtube.com/watch?v=4Gx-o70q6s8
19,0.596457450980392,0,0,0,0,0,0.5686275428571422,0,2713680,https://www.youtube.com/watch?v=4P0smMYhLsg
20,0,0,0,0.706242923076923,0.5347075,0.6485255000000001,0.8298195,0.833582,119622,https://www.youtube.com/watch?v=5IacmGGY3Jc
21,0.5822094423076926,0,0,0,0.5182305,0.6648425,0.587601726027397,0.8123002222222222,68910,https://www.youtube.com/watch?v=5pfoa7j5vls
22,0.6142674565217393,0,0,0.508599,0,0,0.56788293670886,0.730181,187756,https://www.youtube.com/watch?v=5wBOsm9Ki3Y
23,0.5718461666666669,0,0,0,0,0,0.6029927999999991,0,846655,https://www.youtube.com/watch?v=5yA_VKhyd_w
