ID,ANGER,DISGUST,FEAR,JOY,SADNESS,TENTATIVE,ANALYTICAL,CONFIDENT,VIEWS,URL
1,0.931034,0,0.772483888888889,0.6727372727272729,0.7724536666666667,0.886369,0.8265024444444445,0.8273222,3544834,https://www.youtube.com/watch?v=2FMBSblpcrc
2,0.5822094423076926,0,0,0,0.5182305,0.6648425,0.587601726027397,0.8123002222222222,68897,https://www.youtube.com/watch?v=5pfoa7j5vls
3,0,0,0,0.72598,0.563562888888889,0.6615329999999999,0.7679902142857143,0.69026225,122467,https://www.youtube.com/watch?v=6Ly7Btx0Stg
4,0,0,0.503392,0.7069194666666667,0.649833,0.8171175833333333,0.7810952399999997,0.7463319999999999,200508,https://www.youtube.com/watch?v=7fx0QcHyrFk
5,0.5431695,0,0.743703,0.7715584705882353,0.7705411666666667,0.8316488571428573,0.7875701111111112,0.7924313636363636,10736157,https://www.youtube.com/watch?v=8S0FDjFBj8o
6,0,0,0.8279395,0.74392285,0.6625404285714286,0.8059669333333335,0.7309380909090908,0.8160852857142855,1237638,https://www.youtube.com/watch?v=8_zk2DpgLCs
7,0,0,0.619757,0.6978848,0.569143,0.6564773333333332,0.756443625,0.579436,53532,https://www.youtube.com/watch?v=9Q2hew8759w
8,0.643031,0,0,0.7735505625,0.626076,0.8211733636363637,0.788828625,0.7928638,196160,https://www.youtube.com/watch?v=ag-Oyn8vIPE
9,0.5327305,0,0,0.70121025,0.6989443333333334,0.8279094285714287,0.7962247499999999,0.9026393333333332,652602,https://www.youtube.com/watch?v=bp9KBrH8H04
10,0,0,0,0.6914857692307692,0.54416825,0.7946876,0.7122986666666667,0.6848259999999998,2778897,https://www.youtube.com/watch?v=CKCvf8E7V1g
11,0.76521825,0,0,0.738314652173913,0.7700437692307691,0.8200065263157896,0.7615843333333332,0.8503013571428572,295499,https://www.youtube.com/watch?v=F6Qo8IDsVNg
12,0,0,0.5394423333333332,0.7368356875000001,0.5905901666666667,0.7133739333333332,0.7644457083333331,0.7782145714285714,2065118,https://www.youtube.com/watch?v=F7Id9caYw-Y
13,0,0,0,0.7013835333333334,0.516336,0.6872293076923076,0.7118426923076924,0,9332204,https://www.youtube.com/watch?v=Fkd9TWUtFm0
14,0.78291,0,0.8699152499999999,0.6871929230769231,0.65427975,0.73369425,0.7998354666666666,0.7648999999999999,503530,https://www.youtube.com/watch?v=FMJgZ4s2E3w
15,0.5886762600000003,0,0,0,0.5249680000000001,0.7276493333333334,0.569968972602739,0.7916984285714285,2609780,https://www.youtube.com/watch?v=FV8n_E_6Tpc
16,0,0,0,0.6644017777777779,0.6766922857142857,0.8638079999999999,0.7635098749999999,0.6936248333333334,939166,https://www.youtube.com/watch?v=GZadCj8O1-0
